goal_id,name,stmt,sample_idx,text,latency_s,cond,tactic,kind,rule,lead_tok,kw_valid,flagged,sorry,note
167621,preimage_ball,theorem preimage_ball (a : {a // p a}) (r : ℝ) : Subtype.val ⁻¹' (ball a.1 r) = ball a r,0,rw [set.preimage_eq],0.56,constrained,rw [set.preimage_eq],named,rw_tac,rw,True,,False,
167621,preimage_ball,theorem preimage_ball (a : {a // p a}) (r : ℝ) : Subtype.val ⁻¹' (ball a.1 r) = ball a r,1,rw [←mem_preimage],0.22,constrained,rw [←mem_preimage],named,rw_tac,rw,True,,False,
167621,preimage_ball,theorem preimage_ball (a : {a // p a}) (r : ℝ) : Subtype.val ⁻¹' (ball a.1 r) = ball a r,2,simplify,0.13,constrained,simplify,named,simp_tac,simplify,False,,False,
167621,preimage_ball,theorem preimage_ball (a : {a // p a}) (r : ℝ) : Subtype.val ⁻¹' (ball a.1 r) = ball a r,3,rw [preimage_univ],0.23,constrained,rw [preimage_univ],named,rw_tac,rw,True,,False,
167621,preimage_ball,theorem preimage_ball (a : {a // p a}) (r : ℝ) : Subtype.val ⁻¹' (ball a.1 r) = ball a r,4,rw [preimage_const],0.2,constrained,rw [preimage_const],named,rw_tac,rw,True,,False,
167621,preimage_ball,theorem preimage_ball (a : {a // p a}) (r : ℝ) : Subtype.val ⁻¹' (ball a.1 r) = ball a r,5,rw [subtype.preimage],0.2,constrained,rw [subtype.preimage],named,rw_tac,rw,True,,False,
167621,preimage_ball,theorem preimage_ball (a : {a // p a}) (r : ℝ) : Subtype.val ⁻¹' (ball a.1 r) = ball a r,6,cases a; unfold Subtype.val; rw [preimage_const]; simp; rw [ball_def],0.56,constrained,cases a; unfold Subtype.val; rw [preimage_const]; simp; rw [ball_def],named,cases_tac,cases,True,ball_def,False,
167621,preimage_ball,theorem preimage_ball (a : {a // p a}) (r : ℝ) : Subtype.val ⁻¹' (ball a.1 r) = ball a r,7,unfold Subtype.val; congr; apply Set.ball_subset_ball_of_le_radius; linarith,0.49,constrained,unfold Subtype.val; congr; apply Set.ball_subset_ball_of_le_radius; linarith,named,unfold_tac,unfold,True,Set.ball_subset_ball_of_le_radius,False,
29184,Q_idem,theorem Q_idem (q : ℕ) : (Q q : K[X] ⟶ K[X]) ≫ Q q = Q q,0,rw [idem_def],0.2,constrained,rw [idem_def],named,rw_tac,rw,True,idem_def,False,
29184,Q_idem,theorem Q_idem (q : ℕ) : (Q q : K[X] ⟶ K[X]) ≫ Q q = Q q,1,rw [category.id_comp],0.21,constrained,rw [category.id_comp],named,rw_tac,rw,True,,False,
29184,Q_idem,theorem Q_idem (q : ℕ) : (Q q : K[X] ⟶ K[X]) ≫ Q q = Q q,2,use Q_idem,0.15,constrained,use Q_idem,named,use_tac,use,True,,False,
29184,Q_idem,theorem Q_idem (q : ℕ) : (Q q : K[X] ⟶ K[X]) ≫ Q q = Q q,3,rewrite category.id_comp,0.16,constrained,rewrite category.id_comp,fallback,generic_tac,rewrite,False,,False,
