goal_id,name,stmt,sample_idx,text,latency_s,cond,tactic,kind,rule,lead_tok,kw_valid,flagged,sorry,note
167621,preimage_ball,theorem preimage_ball (a : {a // p a}) (r : ℝ) : Subtype.val ⁻¹' (ball a.1 r) = ball a r,0,xx := 1234567890000000000000000000000000000000000000000000000000000,4.53,constrained,xx := 1234567890000000000000000000000000000000000000000000000000000,fallback,generic_tac,xx,False,,False,
167621,preimage_ball,theorem preimage_ball (a : {a // p a}) (r : ℝ) : Subtype.val ⁻¹' (ball a.1 r) = ball a r,1,"earnings per share (EPS). The current share price is $16, and there are 10,000,000 shares outstanding. The company expects a net income of $180,000,000 next year, and it will maintain the same share count.",1.7,constrained,"earnings per share (EPS). The current share price is $16, and there are 10,000,000 shares outstanding. The company expects a net income of $180,000,000 next year, and it will maintain the same share count.",fallback,generic_tac,earnings,False,EPS;The;are;company;current;expects;income;it;maintain;net;per;price;same;share;shares;there;will;year,False,
167621,preimage_ball,theorem preimage_ball (a : {a // p a}) (r : ℝ) : Subtype.val ⁻¹' (ball a.1 r) = ball a r,2,"_owned by `a : {a // p a}` is `a.1`, which is a term of type `α`. The set `{a // p a}` is a subtype of `α` where the predicate `p a` must hold. The `Subtype.val` function extracts the term `a.",1.7,constrained,"_owned by `a : {a // p a}` is `a.1`, which is a term of type `α`. The set `{a // p a}` is a subtype of `α` where the predicate `p a` must hold. The `Subtype.val` function extracts the term `a.",fallback,generic_tac,_owned,False,The;a.1;extracts;must;predicate;where;which,False,
167621,preimage_ball,theorem preimage_ball (a : {a // p a}) (r : ℝ) : Subtype.val ⁻¹' (ball a.1 r) = ball a r,3,unitypedic 2024-06-23 03:40:42.046  285473  104608  43427  0 0  0  0  0,1.71,constrained,unitypedic 2024-06-23 03:40:42.046  285473  104608  43427  0 0  0  0  0,fallback,generic_tac,unitypedic,False,,False,
167621,preimage_ball,theorem preimage_ball (a : {a // p a}) (r : ℝ) : Subtype.val ⁻¹' (ball a.1 r) = ball a r,4,_iohkiy6a8i5k3q5nq2k5x5q8x5v5v5x5y5y5y5y5y5y5y5y5y5y5y5y5y5y5y5y5y5,1.76,constrained,_iohkiy6a8i5k3q5nq2k5x5q8x5v5v5x5y5y5y5y5y5y5y5y5y5y5y5y5y5y5y5y5y5,fallback,generic_tac,_iohkiy6a8i5k3q5nq2k5x5q8x5v5v5x5y5y5y5y5y5y5y5y5y5y5y5y5y5y5y5y5y5,False,,False,
167621,preimage_ball,theorem preimage_ball (a : {a // p a}) (r : ℝ) : Subtype.val ⁻¹' (ball a.1 r) = ball a r,5,"_owned by a, the set of all points in a space that are within a ball of radius r centered at a is precisely the preimage of the ball under the subtype.val function. The statement to prove is `Subtype.val ⁻¹' (ball a.1 r) = ball a r`. Here,",1.73,constrained,"_owned by a, the set of all points in a space that are within a ball of radius r centered at a is precisely the preimage of the ball under the subtype.val function. The statement to prove is `Subtype.val ⁻¹' (ball a.1 r) = ball a r`. Here,",fallback,generic_tac,_owned,False,Here;The;a.1;are;centered;points;precisely;prove;that;within,False,
167621,preimage_ball,theorem preimage_ball (a : {a // p a}) (r : ℝ) : Subtype.val ⁻¹' (ball a.1 r) = ball a r,6,"old and new are two different variables, so this is not a counterexample. Here is a counterexample: a = 1, n = 2, b = 2, c = 2. Then the condition is 1 * 2 + 2 * 2 + 2 * 2 =",1.74,constrained,"old and new are two different variables, so this is not a counterexample. Here is a counterexample: a = 1, n = 2, b = 2, c = 2. Then the condition is 1 * 2 + 2 * 2 + 2 * 2 =",fallback,generic_tac,old,False,Here;Then;are;different;variables,False,
167621,preimage_ball,theorem preimage_ball (a : {a // p a}) (r : ℝ) : Subtype.val ⁻¹' (ball a.1 r) = ball a r,7,"old version of the statement. The original Lean 4 theorem is actually about the preimage of the ball `ball a r` under the function `Subtype.val`, where `a` is a term of a subtype `{a // p a}`. The confusion arises because in the original statement, `a` is",1.71,constrained,"old version of the statement. The original Lean 4 theorem is actually about the preimage of the ball `ball a r` under the function `Subtype.val`, where `a` is a term of a subtype `{a // p a}`. The confusion arises because in the original statement, `a` is",fallback,generic_tac,old,False,Lean;The;about;actually;arises;because;confusion;original;theorem;version;where,False,
29184,Q_idem,theorem Q_idem (q : ℕ) : (Q q : K[X] ⟶ K[X]) ≫ Q q = Q q,0,"unitypedic_simp [Function.comp_apply, Pi.single_apply, Pi.comp_apply, Function.comp_apply, Pi.single_apply, Pi.comp_apply, Function.comp_apply, Pi.single_apply, Pi.comp_apply, Function.comp_apply, Pi.single_apply, Pi.comp_apply, Function.comp_apply, Pi.single_apply, Pi.comp",1.71,constrained,"unitypedic_simp [Function.comp_apply, Pi.single_apply, Pi.comp_apply, Function.comp_apply, Pi.single_apply, Pi.comp_apply, Function.comp_apply, Pi.single_apply, Pi.comp_apply, Function.comp_apply, Pi.single_apply, Pi.comp_apply, Function.comp_apply, Pi.single_apply, Pi.comp",fallback,generic_tac,unitypedic_simp,False,,False,
29184,Q_idem,theorem Q_idem (q : ℕ) : (Q q : K[X] ⟶ K[X]) ≫ Q q = Q q,1,"avenue of progress, we need to find a reasonable first step to prove the theorem. The theorem statement is `Q_idem (q : ℕ) : (Q q : K[X] ⟶ K[X]) ≫ Q q = Q q`. This can be rewritten as `(Q q : K[X]",1.7,constrained,"avenue of progress, we need to find a reasonable first step to prove the theorem. The theorem statement is `Q_idem (q : ℕ) : (Q q : K[X] ⟶ K[X]) ≫ Q q = Q q`. This can be rewritten as `(Q q : K[X]",fallback,generic_tac,avenue,False,The;This;as;be;can;need;progress;prove;reasonable;rewritten;theorem;we,False,
